country,Ladder,LogGDP,Social,HLE,Freedom,Generosity,Corruption,Positive,Negative,gini
Indonesia,5.136325359,9.287412643,0.791830599,60.47728348,0.82994163,0.485927582,0.889677405,0.832811952,0.341573596,0.413669288
Iran,4.652730942,9.748827934,0.566281199,65.6570816,,0.156854063,,0.686764956,0.52587682,0.524211705
Iraq,4.412537098,9.586719513,0.718956709,60.85366058,0.666160166,-0.08291506,0.798866451,0.488692015,0.569758058,0.548373163
Ireland,7.04073143,10.90115261,0.958144009,71.40406799,0.874589145,0.171785638,0.398544312,0.809203029,0.211063311,0.36578542
Israel,7.159010887,10.36746407,0.889660776,72.3062439,0.772297323,0.1466925,0.804056585,0.629189372,0.263090223,0.306069046
Italy,5.95452404,10.43184376,0.927212834,72.72756195,0.623741627,-0.087276623,0.902801216,0.685422838,0.339173585,0.397048205
Ivory Coast,4.542545795,8.157474518,0.617400765,45.35932159,0.768789351,-0.026616128,0.757453382,0.70361656,0.378029406,0.550322711
Japan,5.954650879,10.49381065,0.899773836,75.08885193,0.836064637,-0.075606167,0.697639346,0.76010859,0.192402646,0.329055846
Jordan,5.27128458,9.239942551,0.819944739,64.30827332,0.771350622,-0.052945342,,0.640657842,0.311913371,0.369783759
Kazakhstan,5.533551693,10.08656502,0.927810669,65.25882721,0.782805562,-0.053312745,0.702016652,0.702479124,0.15541473,0.339127779
Kenya,4.396127701,8.00462532,0.70592159,54.58264542,0.748508275,0.31537044,0.828411579,0.742762327,0.225647658,0.556292892
Kosovo,5.759412289,9.164076805,0.82380271,62.2653923,0.827398598,0.118290417,0.940897942,0.703886986,0.14960672,0.407474339
Kuwait,5.947194576,11.08980465,0.845222056,65.22395325,0.840967178,-0.113090381,,0.688287258,0.314922988,0.538838744
Kyrgyzstan,4.856534004,8.091743469,0.914375484,62.5934639,0.813939214,0.0819178,0.916922808,0.778171241,0.126099676,0.401855767
Latvia,5.940446377,10.05293655,0.917073965,65.52488708,0.685299277,-0.162657723,0.867639601,0.653751254,0.231383532,0.384025455
Lebanon,5.27072382,9.456853867,0.827885926,68.87224579,0.657357454,0.03452611,0.853114486,0.552651107,0.263445616,0.322835147
Lesotho,3.808204889,7.85811615,0.798059285,43.37739563,0.729489863,-0.0937417,0.742873371,0.732465565,0.27028349,0.676437318
Liberia,3.354676008,6.681718826,0.642614603,51.54916,0.763476014,0.085705712,0.901267469,0.635527551,0.509046674,0.558121264
Libya,5.43358326,9.625382423,0.87606585,61.29749298,0.822384834,-0.129474103,,0.71778506,0.383073747,0.480711341
Lithuania,5.865552425,10.21611309,0.937873363,65.05998993,0.614239335,-0.27387473,0.949392676,0.594167292,0.249855742,0.355488271
Luxembourg,6.967340946,11.45924854,0.941260576,72.89732361,0.882365346,0.003842965,0.356336325,0.757949769,0.192300707,0.311804265
Macedonia,5.34574604,9.486315727,0.871212244,65.69872284,0.706179321,0.07731916,0.869719028,0.638737202,0.292294681,
Madagascar,3.663085938,7.23338604,0.746496975,56.64056778,0.569645405,-0.057400767,0.864171147,0.813191354,0.204255417,0.479676157
Malawi,3.476492643,7.01369524,0.524299622,55.28212357,0.809884131,0.064433903,0.823615015,0.603104591,0.32473892,0.525955856
Mali,4.016027927,7.756872654,0.836254537,49.59024429,0.696007371,-0.075244598,0.862326682,0.806901336,0.305299431,0.438034266
Malta,6.590842247,,0.930369377,71.65420532,0.916023612,,0.696494639,0.687271595,0.355443776,0.401275814
Mauritania,4.472149372,8.249141693,0.784826875,53.37380981,0.466561466,-0.159601271,0.841835141,0.734556079,0.221666142,0.456840456
Mauritius,5.610003471,9.852088928,0.836032152,65.48225403,0.819175661,0.129273996,0.890661359,0.784898281,0.245711893,0.386705786
Mexico,6.824172974,9.724581718,0.893492579,67.96994781,0.751613081,-0.156936705,0.808579445,0.859106421,0.219571486,0.432634264
Moldova,5.577784061,8.46979332,0.83732146,63.90820694,0.557369471,0.005702797,0.969482958,0.621101141,0.274551123,0.37286514
